Time_sec,ReferenceWingArea_ft2,ReferenceChord_ft,ReferenceSpan_ft,SpeedOfSound_SeaLevel_fps,StaticPressure_SeaLevel_psf,ThrustLimit_lbs,StabCommand_deg,AileronCommand_deg,RudderCommand_deg,Throttle_norm,AircraftWeight_lbs,CGx_pct,Ixx_slft,Iyy_slft,Izz_slft,Ixy_slft,Ixz_slft,Iyz_slft,AltitudeMeanSeaLevel_ft,MachNumber,TrueAirspeed_fps,TrueAirspeed_kt,EquivilantAirspeed_fps,EquivilantAirspeed_kt,AccelGravity_fts2,SpeedOfSound_kt,SpeedOfSound_fps,AirTemperature_r,AirDensity_slugft3,StaticPressure_psf,DynamicPressure_psf,TotalPressure_psf,Alpha_deg,Alpha_dot_dps,Beta_deg,Beta_dot_dps,Gamma_deg,CL0,CD0,CM0,CL_alpha,CD_alpha,CM_alpha,CL_alpha_dot,CM_alpha_dot,CL_q,CM_q,CL_m,CD_m,CM_m,CL_delta_stab,CM_delta_stab,CY_b,Cl_b,CN_b,Cl_p,CN_p,Cl_r,CN_r,Cl_delta_ail,CN_delta_ail,CY_rud,Cl_delta_rud,CN_delta_rud,Thrust_lb,Lon_FX_lbs,Lon_FY_lbs,Lon_FZ_lbs,LatDir_FX_lbs,LatDir_FY_lbs,LatDir_FZ_lbs,Propulsion_FX_lbs,Propulsion_FY_lbs,Propulsion_FZ_lbs,FX_lbs,FY_lbs,FZ_lbs,Lon_MX_ftlbs,Lon_MY_ftlbs,Lon_MZ_ftlbs,LatDir_MX_ftlbs,LatDir_MY_ftlbs,LatDir_MZ_ftlbs,Propulsion_MX_ftlbs,Propulsion_MY_ftlbs,Propulsion_MZ_ftlbs,MX_ftlbs,MY_ftlbs,MZ_ftlbs,U_dot_fps2,V_dot_fps2,W_dot_fps2,P_dot_dps2,Q_dot_dps2,R_dot_dps2,Phi_dot_dps,Theta_dot_dps,Psi_dot_dps,U_fps,V_fps,W_fps,P_dps,Q_dps,R_dps,Phi_deg,Theta_deg,Psi_deg
0,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17922,0,0,0.653115,16300,7,3549,58611,59669,0,0,0,55000,1.8,1742.62,1032.36,605.093,358.467,32.174,573.533,968.123,389.97,0.000286548,191.821,435.084,626.906,14.8208,0,0,0,1.77636e-15,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10188.6,-6026.89,0,-15745.7,0,0,0,10188.6,0,0,-7.79763,0,12.0558,0,14.335,0,0,0,0,0,0,0,0,14.335,0,-0.0153915,0,0.0237966,0,0.0140133,0,0,0,0,1684.65,0,445.758,0,0,0,0,14.8208,0
0.005,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17922,0,0,0.653115,16300,7,3549,58611,59669,0,0,0,55000,1.8,1742.62,1032.36,605.093,358.467,32.174,573.533,968.123,389.97,0.000286548,191.821,435.084,626.906,14.8208,1.54606e-05,0,0,1.77636e-15,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10188.6,-6026.89,0,-15745.7,0,0,0,10188.6,0,0,-7.79763,0,12.0558,0,14.3338,0,0,0,0,0,0,0,0,14.3338,0,-0.0153915,0,0.0237966,0,0.0140121,0,0,7.00607e-05,0,1684.65,0,445.758,0,7.00607e-05,0,0,14.8208,0
0.01,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17922,0,0,0.653115,16300,7,3549,58611,59669,0,0,0,55000,1.8,1742.62,1032.36,605.093,358.467,32.174,573.533,968.123,389.97,0.000286548,191.821,435.084,626.906,14.8208,1.54606e-05,0,0,-4.07883e-06,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10188.6,-6026.89,0,-15745.7,0,0,0,10188.6,0,0,-7.79506,0,12.042,0,14.2398,0,0,0,0,0,0,0,0,14.2398,0,-0.0159315,0,0.0258292,0,0.0139203,0,0,0.000139662,0,1684.65,0,445.758,0,0.000139662,0,0,14.8208,0
0.015,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17922,0,0,0.653115,16300,7,3549,58611,59669,0,0,0,55000,1.8,1742.62,1032.36,605.093,358.467,32.174,573.533,968.123,389.97,0.000286548,191.821,435.084,626.906,14.8208,1.66675e-05,0,0,-8.1554e-06,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10188.6,-6026.89,0,-15745.7,0,0,0,10188.6,0,0,-7.79241,0,12.027,0,14.1395,0,0,0,0,0,0,0,0,14.1395,0,-0.0164677,0,0.0278462,0,0.0138222,0,0,0.000208773,0,1684.65,0,445.758,0,0.000208773,0,0,14.8208,0
0.02,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17922,0,0,0.653115,16300,7,3549,58611,59669,0,0,0,55000,1.8,1742.62,1032.36,605.093,358.467,32.174,573.533,968.123,389.97,0.000286548,191.821,435.084,626.906,14.8208,1.78651e-05,0,0,-1.22295e-05,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10188.6,-6026.88,0,-15745.7,0,0,0,10188.6,0,0,-7.78969,0,12.011,0,14.0329,0,0,0,0,0,0,0,0,14.0329,0,-0.017,0,0.0298466,0,0.013718,0,0,0.000277363,0,1684.65,0,445.758,0,0.000277363,0,0,14.8208,0
0.025,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17922,0,0,0.653115,16300,7,3549,58611,59669,0,0,0,55000,1.8,1742.62,1032.36,605.093,358.467,32.174,573.533,968.123,389.97,0.000286548,191.821,435.084,626.906,14.8208,1.9053e-05,0,0,-1.6301e-05,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10188.6,-6026.88,0,-15745.7,0,0,0,10188.6,0,0,-7.7869,0,11.9939,0,13.9201,0,0,0,0,0,0,0,0,13.9201,0,-0.0175282,0,0.0318295,0,0.0136077,0,0,0.000345402,0,1684.65,0,445.758,0,0.000345402,0,0,14.8208,0
0.03,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17922,0,0,0.653115,16300,7,3549,58611,59669,0,0,0,55000,1.8,1742.62,1032.36,605.093,358.467,32.174,573.533,968.123,389.97,0.000286548,191.821,435.084,626.906,14.8208,2.02305e-05,0,0,-2.03696e-05,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10188.6,-6026.88,0,-15745.7,0,0,0,10188.6,0,0,-7.78403,0,11.9756,0,13.8012,0,0,0,0,0,0,0,0,13.8012,0,-0.0180518,0,0.033794,0,0.0134915,0,0,0.000412859,0,1684.65,0,445.758,0,0.000412859,0,0,14.8208,0
0.035,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17922,0,0,0.653115,16300,7,3549,58611,59669,0,0,0,55000,1.8,1742.62,1032.36,605.093,358.467,32.174,573.533,968.123,389.97,0.000286548,191.821,435.084,626.906,14.8209,2.13973e-05,0,0,-2.44352e-05,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10188.6,-6026.87,0,-15745.8,0,0,0,10188.6,0,0,-7.7811,0,11.9564,0,13.6762,0,0,0,0,0,0,0,0,13.6762,0,-0.0185709,0,0.0357394,0,0.0133693,0,0,0.000479705,0,1684.65,0,445.759,0,0.000479705,0,0,14.8208,0
0.04,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17922,0,0,0.653115,16300,7,3549,58611,59669,0,0,0,55000,1.8,1742.62,1032.36,605.093,358.467,32.174,573.533,968.123,389.97,0.000286548,191.821,435.084,626.905,14.8209,2.25526e-05,0,0,-2.84975e-05,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10188.6,-6026.87,0,-15745.8,0,0,0,10188.6,0,0,-7.77809,0,11.936,0,13.5452,0,0,0,0,0,0,0,0,13.5452,0,-0.019085,0,0.0376647,0,0.0132412,0,0,0.000545912,0,1684.65,0,445.759,0,0.000545912,0,0,14.8208,0
0.045,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17922,0,0,0.653115,16300,7,3549,58611,59669,0,0,0,55000,1.8,1742.62,1032.36,605.093,358.467,32.174,573.533,968.123,389.97,0.000286548,191.821,435.084,626.905,14.8209,2.36962e-05,0,0,-3.25564e-05,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10188.6,-6026.87,0,-15745.8,0,0,0,10188.6,0,0,-7.77502,0,11.9146,0,13.4082,0,0,0,0,0,0,0,0,13.4082,0,-0.019594,0,0.039569,0,0.0131074,0,0,0.000611448,0,1684.65,0,445.759,0,0.000611448,0,0,14.8208,0
